Adams,ADA
Ashland,ASH
Barron,BAR
Bayfield,BAY
Brown,BRO
Buffalo,BUF
Burnett,BUR
Calumet,CAL
Chippewa,CHI
Clark,CLA
Columbia,COL
Crawford,CRA
Dane,DAN
Dodge,DOD
Door,DOO
Douglas,DOU
Dunn,DUN
Eau Claire,EAU
Florence,FLO
Fond du Lac,FON
Forest,FOR
Grant,GRA
Green,GRE
Green Lake,GRL
Iowa,IOW
Iron,IRO
Jackson,JAC
Jefferson,JEF
Juneau,JUN
Kenosha,KEN
Kewaunee,KEW
La Crosse,LAC
Lafayette,LAF
Langlade,LAN
Lincoln,LIN
Manitowoc,MAN
Marathon,MAR
Menominee,MEN
Milwaukee,MIL
Monroe,MON
Marinette,MRN
Marquette,MRQ
Oconto,OCO
Oneida,ONE
Outagamie,OUT
Ozaukee,OZA
Pepin,PEP
Pierce,PIE
Polk,POL
Portage,POR
Price,PRI
Racine,RAC
Richland,RIC
Rock,ROC
Rusk,RUS
Sauk,SAU
Sawyer,SAW
Shawano,SHA
Sheboygan,SHE
St. Croix;St Croix;Saint Croix,STC
Taylor,TAY
Trempealeau,TRE
Vernon,VER
Vilas,VIL
Walworth,WAL
Waupaca,WAP
Washington,WAS
Waukesha,WAU
Winnebago,WIN
Wood,WOO
Washburn,WSB
Waushara,WSR
